X,Y,Point_ID,Height
506255.515,330484.692,LAU_R_206,60.395
506254.456,330484.4,LAU_R_205,60.402
506253.456,330484.04,LAU_R_204,60.419
506252.446,330483.737,LAU_R_203,60.424
506251.362,330483.409,LAU_R_202,60.413
506250.377,330483.072,LAU_R_201,60.438
506249.373,330482.745,LAU_R_200,60.436
506248.493,330482.51,LAU_R_199,60.434
506247.781,330482.275,LAU_R_198,60.434
506247.6,330482.201,LAU_R_197,60.421
506247.603,330482.194,LAU_R_196,60.414
506247.6,330482.197,LAU_R_195,60.41
506247.597,330482.195,LAU_R_194,60.405
506247.569,330482.206,LAU_R_193,60.413
506247.6,330482.199,LAU_R_192,60.416
506247.368,330482.114,LAU_R_191,60.449
506246.422,330481.779,LAU_R_190,60.444
506245.381,330481.441,LAU_R_189,60.448
506244.374,330481.109,LAU_R_188,60.471
506243.421,330480.796,LAU_R_187,60.482
506242.474,330480.531,LAU_R_186,60.504
506241.574,330480.247,LAU_R_185,60.521
506241.12,330480.038,LAU_R_184,60.515
506240.772,330479.921,LAU_R_183,60.509
506239.93,330479.615,LAU_R_182,60.493
506238.93,330479.336,LAU_R_181,60.51
506237.99,330479.014,LAU_R_180,60.535
506236.925,330478.666,LAU_R_179,60.551
506235.929,330478.368,LAU_R_178,60.584
506234.834,330478.07,LAU_R_177,60.618
506233.85,330477.711,LAU_R_176,60.621
506232.89,330477.39,LAU_R_175,60.613
506231.816,330477.047,LAU_R_174,60.64
506230.746,330476.702,LAU_R_173,60.639
506229.561,330476.299,LAU_R_172,60.667
506228.406,330475.926,LAU_R_171,60.689
506227.309,330475.601,LAU_R_170,60.699
506226.288,330475.27,LAU_R_169,60.775
506225.192,330474.877,LAU_R_168,60.774
506224.027,330474.489,LAU_R_167,60.772
506222.95,330474.134,LAU_R_166,60.81
506221.879,330473.754,LAU_R_165,60.86
506220.77,330473.423,LAU_R_164,60.852
506219.673,330473.055,LAU_R_163,60.874
506218.631,330472.742,LAU_R_162,60.895
506217.558,330472.349,LAU_R_161,60.927
506216.503,330471.984,LAU_R_160,60.95
506215.452,330471.683,LAU_R_159,60.964
506214.535,330471.319,LAU_R_158,60.978
506213.522,330470.925,LAU_R_157,60.977
506212.511,330470.635,LAU_R_156,60.988
506211.51,330470.274,LAU_R_155,61.014
506210.452,330469.916,LAU_R_154,61.011
506209.44,330469.595,LAU_R_153,61.013
506208.478,330469.251,LAU_R_152,61.031
506207.441,330468.889,LAU_R_151,61.027
506206.4,330468.499,LAU_R_150,61.064
506205.373,330468.145,LAU_R_149,61.07
506204.35,330467.809,LAU_R_148,61.104
506203.271,330467.447,LAU_R_147,61.064
506202.199,330467.062,LAU_R_146,61.072
506201.205,330466.742,LAU_R_145,61.09
506200.245,330466.407,LAU_R_144,61.104
506199.307,330466.083,LAU_R_143,61.106
506198.398,330465.764,LAU_R_142,61.127
506197.456,330465.438,LAU_R_141,61.164
506196.539,330465.153,LAU_R_140,61.144
506195.552,330464.88,LAU_R_139,61.168
506194.521,330464.517,LAU_R_138,61.16
506193.559,330464.157,LAU_R_137,61.191
506192.52,330463.809,LAU_R_136,61.192
506191.485,330463.486,LAU_R_135,61.207
506190.472,330463.127,LAU_R_134,61.208
506189.458,330462.81,LAU_R_133,61.239
506188.473,330462.491,LAU_R_132,61.239
506187.502,330462.184,LAU_R_131,61.262
506186.528,330461.855,LAU_R_130,61.262
506185.508,330461.469,LAU_R_129,61.263
506184.516,330461.169,LAU_R_128,61.264
506183.637,330460.886,LAU_R_127,61.279
506182.987,330460.608,LAU_R_126,61.274
506182.537,330460.493,LAU_R_125,61.309
506182.442,330460.45,LAU_R_124,61.299
506182.445,330460.44,LAU_R_123,61.297
506182.447,330460.441,LAU_R_122,61.296
506182.389,330460.424,LAU_R_121,61.293
506182.421,330460.459,LAU_R_120,61.292
506182.429,330460.5,LAU_R_119,61.288
506182.318,330460.581,LAU_R_118,61.255
506182.247,330460.883,LAU_R_117,61.243
506182.177,330461.153,LAU_R_116,61.242
506182.152,330461.235,LAU_R_115,61.206
506182.147,330461.505,LAU_R_114,61.243
506182.175,330461.51,LAU_R_113,61.25
506182.137,330461.63,LAU_R_112,61.245
506182.217,330461.694,LAU_R_111,61.221
506182.877,330461.908,LAU_R_110,61.206
506183.816,330462.193,LAU_R_109,61.216
506184.743,330462.555,LAU_R_108,61.189
506185.775,330462.912,LAU_R_107,61.194
506186.851,330463.226,LAU_R_106,61.206
506187.865,330463.604,LAU_R_105,61.181
506188.881,330463.909,LAU_R_104,61.184
506189.877,330464.242,LAU_R_103,61.179
506190.893,330464.569,LAU_R_102,61.152
506191.899,330464.902,LAU_R_101,61.141
506192.934,330465.249,LAU_R_100,61.119
506193.866,330465.533,LAU_R_99,61.131
506194.773,330465.886,LAU_R_98,61.078
506195.821,330466.221,LAU_R_97,61.07
506196.807,330466.567,LAU_R_96,61.049
506197.857,330466.893,LAU_R_95,61.073
506198.778,330467.19,LAU_R_94,61.017
506199.699,330467.511,LAU_R_93,61.033
506200.622,330467.821,LAU_R_92,61.045
506201.379,330468.085,LAU_R_91,61.047
506201.771,330468.223,LAU_R_90,61.037
506201.809,330468.277,LAU_R_89,60.996
506201.808,330468.279,LAU_R_88,61
506201.802,330468.275,LAU_R_87,60.986
506201.79,330468.277,LAU_R_86,61.017
506201.772,330468.223,LAU_R_85,61.014
506202.09,330468.311,LAU_R_84,61.022
506203.195,330468.647,LAU_R_83,61.011
506204.198,330469.037,LAU_R_82,61.038
506205.141,330469.284,LAU_R_81,60.99
506206.108,330469.614,LAU_R_80,60.992
506207.142,330469.914,LAU_R_79,60.957
506207.98,330470.29,LAU_R_78,60.988
506208.891,330470.583,LAU_R_77,60.977
506209.822,330470.934,LAU_R_76,60.979
506210.852,330471.209,LAU_R_75,60.974
506211.841,330471.67,LAU_R_74,60.963
506212.884,330471.967,LAU_R_73,60.949
506213.921,330472.378,LAU_R_72,60.955
506214.938,330472.687,LAU_R_71,60.901
506215.976,330473.087,LAU_R_70,60.882
506216.846,330473.413,LAU_R_69,60.903
506217.84,330473.719,LAU_R_68,60.861
